Trial,Prime,Target,RT,Response
1,1,0,2.4173045686166006,a
2,0,0,1.1690772611937064,a
3,0,0,0.8503919571658116,a
4,1,1,1.201080234206529,l
5,0,0,0.7403350441236398,a
6,0,1,0.6156353639953522,l
7,1,1,0.5321111329658379,l
8,0,1,0.5338058522429492,l
9,1,1,0.5510167248994549,l
10,0,1,0.47585814363446843,l
11,1,0,0.5195061250105937,a
12,1,1,0.44861420859069767,l
13,1,0,0.5018148258923247,a
14,0,0,0.4808659281643486,a
15,0,1,0.584480603954944,l
16,0,1,0.6006568103857717,l
17,1,0,0.4936096027258827,a
18,1,1,0.4507496743472075,l
19,1,0,0.4678756403727675,a
20,0,0,0.5845642305857837,a
